MUNCODMUN;"MUNNOMMUN";CALCODCAL;"CALCODSIG";"CALNOMCAL";"CALNOMCOR"
44;"OVIEDO                                            ";494;"CALLE";"TEODORO CUESTA                                    ";"TEODORO CUESTA           "
44;"OVIEDO                                            ";4049;"PLAZA";"TEODORO LOPEZ-CUESTA                              ";"TEODORO LOPEZ-CUESTA     "
44;"OVIEDO                                            ";732;"CALLE";"TEVERGA                                           ";"TEVERGA                  "
44;"OVIEDO                                            ";495;"CALLE";"TIGRE JUAN                                        ";"TIGRE JUAN               "
44;"OVIEDO                                            ";496;"CALLE";"TILOS LOS                                         ";"TILOS LOS                "
44;"OVIEDO                                            ";726;"CALLE";"TINEO                                             ";"TINEO                    "
44;"OVIEDO                                            ";3323;"CALLE";"TINO CASAL                                        ";"TINO CASAL               "
44;"OVIEDO                                            ";497;"CALLE";"TIRSO DE AVILES                                   ";"TIRSO DE AVILES          "
44;"OVIEDO                                            ";498;"CALLE";"TITO BUSTILLO                                     ";"TITO BUSTILLO            "
44;"OVIEDO                                            ";1813;"LUGAR";"TOLEO                                             ";"TOLEO                    "
44;"OVIEDO                                            ";184;"CALLE";"TOMAS CRESPO ""FRIGILIS""                           ";"TOMAS CRESPO ""FRIGILIS""  "
44;"OVIEDO                                            ";1218;"LUGAR";"TORAL EL                                          ";"TORAL EL                 "
44;"OVIEDO                                            ";720;"URB  ";"TORDOS LOS (OLIVARES) NO OFICIAL                  ";"TORDOS LOS (OLIVARES)    "
44;"OVIEDO                                            ";2106;"LUGAR";"TORIELLO                                          ";"TORIELLO                 "
44;"OVIEDO                                            ";2529;"LUGAR";"TOROLLO EL                                        ";"TOROLLO EL               "
44;"OVIEDO                                            ";823;"CALLE";"TORRE DE OLIVARES LA                              ";"TORRE DE OLIVARES LA     "
44;"OVIEDO                                            ";2522;"LUGAR";"TORRE LA-SAN CLAUDIO                              ";"TORRE LA-SAN CLAUDIO     "
44;"OVIEDO                                            ";499;"CALLE";"TORRECERREDO                                      ";"TORRECERREDO             "
44;"OVIEDO                                            ";500;"AVDA ";"TORRELAVEGA DE                                    ";"TORRELAVEGA DE           "
44;"OVIEDO                                            ";1409;"LUGAR";"TORRE-NARANCO                                     ";"TORRE                    "
44;"OVIEDO                                            ";4081;"CALLE";"TORREVIEJA                                        ";"TORREVIEJA               "
44;"OVIEDO                                            ";757;"CALLE";"TRAPONES LOS                                      ";"TRAPONES LOS             "
44;"OVIEDO                                            ";501;"PLAZA";"TRASCORRALES                                      ";"TRASCORRALES             "
44;"OVIEDO                                            ";123;"CALLE";"TRECE ROSAS                                       ";"TRECE ROSAS              "
44;"OVIEDO                                            ";650;"CALLE";"TRES DE ABRIL DE 1979                             ";"TRES DE ABRIL DE 1979    "
44;"OVIEDO                                            ";2907;"LUGAR";"TRES VIAS                                         ";"TRES VIAS                "
44;"OVIEDO                                            ";2523;"LUGAR";"TRESLLAMAS                                        ";"TRESLLAMAS               "
44;"OVIEDO                                            ";3105;"LUGAR";"TUDELA DE AGUERIA                                 ";"TUDELA DE AGUERIA        "
44;"OVIEDO                                            ";4014;"PLAZA";"TUERO BERTRAND                                    ";"TUERO BERTRAND           "
44;"OVIEDO                                            ";502;"CALLE";"TULIPANES LOS                                     ";"TULIPANES LOS            "
44;"OVIEDO                                            ";503;"CALLE";"TURBA LA                                          ";"TURBA LA                 "
44;"OVIEDO                                            ";504;"CALLE";"TURINA                                            ";"TURINA                   "
44;"OVIEDO                                            ";2902;"LUGAR";"UDRION                                            ";"UDRION                   "
